cruise,station,cast,sample_name,date_start_UTC,time_start_UTC,date_end_UTC,time_end_UTC,lat_start,lon_start,lat_end,lon_end,depth_bottom,depth_target,depth_TDR,net_max_depth_m,avg_angle,max_wire_out_m,wire_rate_out_m_min,wire_rate_in_m_min,STW_start,SOG_start,STW_end,SOG_end,flowmeter_sn_335,flow_start_335,flow_end_335,tot_flow_counts_335,vol_filtered_m3_335,NOAA_335,DNA_335,flowmeter_sn_150,flow_start_150,flow_end_150,tot_flow_counts_150,vol_filtered_m3_150,morph_ID_150,DNA_150,size_fract_150,taxa_pick_150,size_fract_20,haul_factor_10m2_335,haul_factor_10m2_150,haul_factor_100m3_335,haul_factor_100m3_150,comments,primary_flag,secondary_flag
AR28B,L1,1,AR28B_L1_R1,03-04-18,20:52:00,NA,NA,41.185,-70.883,NA,NA,NA,NA,NA,17,NA,17,NA,NA,0.21,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L2,2,AR28B_L2_R2,03-04-18,22:25:02,NA,NA,41.031,-70.883,NA,NA,NA,NA,NA,40,NA,40,NA,NA,0.21,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Cod end broke - no sample. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law). cod end broke.
AR28B,L3,3,AR28B_L3_R3,04-04-18,00:25:02,NA,NA,40.864,-70.885,NA,NA,NA,NA,NA,50,NA,50,NA,NA,0.32,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L4,4,AR28B_L4_R4,04-04-18,02:19:02,NA,NA,40.697,-70.883,NA,NA,NA,NA,NA,62,NA,62,NA,NA,0.14,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L5,5,AR28B_L5_R5,04-04-18,04:30:02,NA,NA,40.529,-70.881,NA,NA,NA,NA,NA,72,NA,72,NA,NA,0.13,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L6,28,AR28B_L6_R28,11-04-18,18:40:02,NA,NA,40.359,-70.885,NA,NA,NA,NA,NA,87,NA,87,NA,NA,0.84,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L7,27,AR28B_L7_R27,11-04-18,12:56:02,NA,NA,40.227,-70.885,NA,NA,NA,NA,NA,120,NA,120,NA,NA,0.11,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L8,37,AR28B_L8_R37,12-04-18,12:40:02,NA,NA,40.137,-70.775,NA,NA,NA,NA,NA,129,NA,129,NA,NA,0.11,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L9,17,AR28B_L9_R17,10-04-18,18:55:02,NA,NA,40.096,-70.885,NA,NA,NA,NA,NA,145,NA,145,NA,NA,0.3,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L10,10,AR28B_L10_R10,09-04-18,15:45:00,NA,NA,39.94,-70.882,NA,NA,NA,NA,NA,438,NA,438,NA,NA,0.55,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L11,12,AR28B_L11_R12,10-04-18,02:55:02,NA,NA,39.773,-70.884,NA,NA,NA,NA,NA,200,NA,200,NA,NA,0.03,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Lots of salps. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR31A,L4,3,AR31A_L4_R3,21-10-18,12:26:00,21-10-18,12:45:00,40.696,-70.884,NA,NA,65,57,NA,57,NA,NA,NA,NA,0.86,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EtOH green. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR31A,L5,2,AR31A_L5_R2,21-10-18,10:32:00,21-10-18,10:50:00,40.514,-70.881,NA,NA,77,69,NA,69,NA,NA,NA,NA,0.7,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EtOH green. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR31A,L6,1,AR31A_L6_R1,21-10-18,08:33:00,21-10-18,08:56:00,NA,NA,40.386,-70.891,93,83,NA,83,NA,NA,NA,NA,NA,NA,0.71,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR32,L1,1,AR32_L1_B1,12-11-18,17:01:00,12-11-18,17:07:00,41.195,-70.883,NA,NA,23,18,NA,18,25,NA,NA,NA,1.96,2.23,NA,NA,28519,834828,844977,10149,79.6928973,Y,N,28517,927723,936353,8630,67.76526788,Y,N,Y,N,N,2.258670548,2.656227971,1.254816971,1.475682206,High phytoplankton content. Ethanol split for morph ID stored in 2 jars (jar 1 of 2 and jar 2 of 2).,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L3,2,AR32_L3_B2,12-11-18,19:47:00,12-11-18,20:00:00,40.861,-70.882,NA,NA,54,48,NA,48,25,NA,NA,NA,1.02,0.94,NA,NA,28519,844703,858722,14019,110.0812619,Y,N,28517,936353,943442,7089,55.66488806,Y,Y,Y,N,N,4.36041513,8.623030005,0.908419819,1.796464584,Dense phytoplankton. Dumped 1/2 of 150 um. The sample is split so 1/4 of sample for 2 jars. 1/4 of size fraction.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L5,3,AR32_L5_B3,12-11-18,22:50:00,12-11-18,23:05:00,40.508,-70.883,NA,NA,76,73,NA,73,30,NA,NA,NA,1.89,2.15,NA,NA,28519,858863,872120,13257,104.0978165,Y,N,28517,943628,955840,12212,95.89217281,N,Y,Y,N,N,7.012635084,7.61271727,0.960634943,1.042837982,Part of 150 um spilled about 5% of sample. 2 EtOH jars.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L6,4,AR32_L6_B4,13-11-18,00:48:00,12-11-18,00:59:00,40.361,-70.876,NA,NA,93,88,NA,88,30,NA,NA,NA,1.74,2.05,NA,NA,28519,872119,893234,21115,165.801116,Y,N,28517,955840,971599,15759,123.7442476,N,Y,Y,N,N,5.307563792,7.111441682,0.603132249,0.808118373,Dumped 1/2 of sample. 1/4 in EtOh.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L7,5,AR32_L7_B5,13-11-18,02:52:00,12-11-18,03:06:00,40.227,-70.877,NA,NA,126,120,NA,120,40,NA,NA,NA,1.57,1.28,NA,NA,28519,893236,919145,25909,203.4449972,Y,N,28517,971594,996095,24501,192.388972,N,Y,Y,N,N,5.898400141,6.237363751,0.491533345,0.519780313,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L10,6,AR32_L10_B6,13-11-18,05:52:00,13-11-18,06:20:00,39.941,-70.893,NA,NA,438,200,NA,200,25,NA,20,20,1.07,0.56,NA,NA,28519,919134,947895,28761,225.8397299,Y,N,28517,996096,25801,29704,233.24444,N,Y,Y,N,N,8.855837724,8.574695286,0.442791886,0.428734764,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L11,7,AR32_L11_B7,13-11-18,08:37:57,13-11-18,08:57:00,39.776,-70.878,NA,NA,1578,200,NA,200,20,NA,NA,NA,0.77,0.97,NA,NA,28519,947894,977683,29789,233.9118847,Y,N,28517,25802,56858,31056,243.8607369,N,Y,Y,N,N,8.550228231,8.201402266,0.427511412,0.410070113,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR34B,L1,5,AR34B_L1_R5,15-04-19,10:05:00,15-04-19,10:08:00,41.197,-70.883,41.197,-70.883,21,19,NA,19,NA,NA,NA,NA,0.08,0.51,0.09,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L2,4,AR34B_L2_R4,15-04-19,08:27:00,15-04-19,08:31:00,41.031,-70.881,41.031,-70.881,46,42,NA,42,NA,NA,NA,NA,0.22,0.64,0.07,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Net zeroed halfway up instead of at the weight. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
